va,name,kind,confidence,notes
0x0004a68c,atan,func,C,"runtime: libc.a:atan.o exact masked-byte match"
0x0004a698,__dpmi_int,func,C,"runtime: libc.a:d0300_z.o exact masked-byte match"
0x0004a718,_movedatal,func,C,"runtime: libc.a:mdl.o exact masked-byte match"
0x0004a744,_go32_dpmi_get_protected_mode_interrupt_vector,func,C,"runtime: libc.a:gopvec.o exact masked-byte match"
0x0004a758,_go32_dpmi_set_protected_mode_interrupt_vector,func,C,"runtime: libc.a:gopvec.o exact masked-byte match"
0x0004a76c,_go32_dpmi_lock_data,func,C,"runtime: libc.a:gopint.o exact masked-byte match"
0x0004a7c4,_go32_dpmi_lock_code,func,C,"runtime: libc.a:gopint.o exact masked-byte match"
0x0004aa10,_go32_dpmi_chain_protected_mode_interrupt_vector,func,C,"runtime: libc.a:gopint.o exact masked-byte match"
0x0004abcc,_go32_dpmi_allocate_iret_wrapper,func,C,"runtime: libc.a:gopint.o exact masked-byte match"
0x0004abe0,_go32_dpmi_free_iret_wrapper,func,C,"runtime: libc.a:gopint.o exact masked-byte match"
0x0004ac0c,itoa,func,C,"runtime: libc.a:itoa.o exact masked-byte match"
0x0004acc4,strcmp,func,C,"runtime: libc.a:strcmp.o exact masked-byte match"
0x0004acec,delay,func,C,"runtime: libc.a:delay.o exact masked-byte match"
0x0004ad44,strstr,func,C,"runtime: libc.a:strstr.o exact masked-byte match"
0x0004ada0,time,func,C,"runtime: libc.a:time.o exact masked-byte match"
0x0004add4,srandom,func,C,"runtime: libc.a:random.o exact masked-byte match"
0x0004ae64,initstate,func,C,"runtime: libc.a:random.o exact masked-byte match"
0x0004b028,setstate,func,C,"runtime: libc.a:random.o exact masked-byte match"
0x0004b0fc,random,func,C,"runtime: libc.a:random.o exact masked-byte match"
0x0004b188,rand,func,C,"runtime: libc.a:rand.o exact masked-byte match"
0x0004b1fc,srand,func,C,"runtime: libc.a:rand.o exact masked-byte match"
0x0004b214,fgetc,func,C,"runtime: reloc-ref: exact masked-byte match"
0x0004b30c,ftell,func,C,"runtime: libc.a:ftell.o exact masked-byte match"
0x0004b394,strlwr,func,C,"runtime: libc.a:strlwr.o exact masked-byte match"
0x0004b3bc,sscanf,func,C,"runtime: libc.a:sscanf.o exact masked-byte match"
0x0004b400,int86,func,C,"runtime: libc.a:int86.o exact masked-byte match"
0x0004b7a4,malloc,func,C,"runtime: libc.a:malloc.o exact masked-byte match"
0x0004b8e8,free,func,C,"runtime: libc.a:malloc.o exact masked-byte match"
0x0004b918,realloc,func,C,"runtime: libc.a:malloc.o exact masked-byte match"
0x0004b9f0,__main,func,C,"runtime: libc.a:_main.o exact masked-byte match"
0x0004ba34,ftime,func,C,"runtime: libc.a:ftime.o exact masked-byte match"
0x0004ba8c,cos,func,C,"runtime: libc.a:cos.o exact masked-byte match"
0x0004baa8,sin,func,C,"runtime: libc.a:sin.o exact masked-byte match"
0x0004babc,difftime,func,C,"runtime: libc.a:difftime.o exact masked-byte match"
0x0004bad4,_go32_dpmi_remaining_physical_memory,func,C,"runtime: libc.a:goqmem.o exact masked-byte match"
0x0004baf6,_go32_dpmi_remaining_virtual_memory,func,C,"runtime: libc.a:goqmem.o exact masked-byte match"
0x0004bb18,fflush,func,C,"runtime: libc.a:fflush.o exact masked-byte match"
0x0004bba0,memcpy,func,C,"runtime: libc.a:memcpy.o exact masked-byte match"
0x0004bbbc,memmove,func,C,"runtime: libc.a:memmove.o exact masked-byte match"
0x0004bc64,memchr,func,C,"runtime: libc.a:memchr.o exact masked-byte match"
0x0004bc9c,strtol,func,C,"runtime: libc.a:strtol.o exact masked-byte match"
0x0004be1c,strtoul,func,C,"runtime: libc.a:strtoul.o exact masked-byte match"
0x0004c92c,fstat,func,C,"runtime: libc.a:fstat.o exact masked-byte match"
0x0004c96c,__dpmi_allocate_ldt_descriptors,func,C,"runtime: libc.a:d0000.o exact masked-byte match"
0x0004c990,__dpmi_set_segment_limit,func,C,"runtime: libc.a:d0008.o exact masked-byte match"
0x0004c9bc,__dpmi_get_version,func,C,"runtime: libc.a:d0400.o exact masked-byte match"
0x0004c9f4,__dpmi_get_segment_base_address,func,C,"runtime: libc.a:d0006.o exact masked-byte match"
0x0004ca20,__movedata,func,C,"runtime: libc.a:md.o exact masked-byte match"
0x0004ca4c,abort,func,C,"runtime: libc.a:abort.o exact masked-byte match"
0x0004ca64,__putenv,func,C,"runtime: libc.a:putenv.o exact masked-byte match"
0x0004ccc8,_get_volume_info,func,C,"runtime: libc.a:_use_lfn.o exact masked-byte match"
0x0004ce78,_use_lfn,func,C,"runtime: libc.a:_use_lfn.o exact masked-byte match"
0x0004d4c4,__crt0_setup_arguments,func,C,"runtime: libc.a:c1args.o exact masked-byte match"
0x0004d9ac,__crt0_load_environment_file,func,C,"runtime: libc.a:c1loadef.o exact masked-byte match"
0x0004df1c,__write,func,C,"runtime: libc.a:write.o exact masked-byte match"
0x0004e06c,__dpmi_get_segment_limit,func,C,"runtime: libc.a:dpmi_lsl.o exact masked-byte match"
0x0004e080,__dpmi_get_processor_exception_handler_vector,func,C,"runtime: libc.a:d0202.o exact masked-byte match"
0x0004e0ac,__dpmi_set_processor_exception_handler_vector,func,C,"runtime: libc.a:d0203.o exact masked-byte match"
0x0004e0d8,__dpmi_get_protected_mode_interrupt_vector,func,C,"runtime: libc.a:d0204.o exact masked-byte match"
0x0004e104,__dpmi_set_protected_mode_interrupt_vector,func,C,"runtime: libc.a:d0205.o exact masked-byte match"
0x0004e130,__dpmi_set_real_mode_interrupt_vector,func,C,"runtime: libc.a:d0201.o exact masked-byte match"
0x0004e160,__dpmi_free_real_mode_callback,func,C,"runtime: libc.a:d0304.o exact masked-byte match"
0x0004e188,__dpmi_get_real_mode_interrupt_vector,func,C,"runtime: libc.a:d0200.o exact masked-byte match"
0x0004e1b8,__dpmi_allocate_real_mode_callback,func,C,"runtime: libc.a:d0303.o exact masked-byte match"
0x0004e1fc,__dpmi_lock_linear_region,func,C,"runtime: libc.a:d0600.o exact masked-byte match"
0x0004e234,__dpmi_allocate_dos_memory,func,C,"runtime: libc.a:d0100.o exact masked-byte match"
0x0004e270,__dpmi_free_dos_memory,func,C,"runtime: libc.a:d0101.o exact masked-byte match"
0x0004e294,__dpmi_resize_dos_memory,func,C,"runtime: libc.a:d0102.o exact masked-byte match"
0x0004e2c4,__dpmi_get_free_memory_information,func,C,"runtime: libc.a:d0500.o exact masked-byte match"
0x0004e2e8,__dpmi_get_and_disable_virtual_interrupt_state,func,C,"runtime: libc.a:d0900.o exact masked-byte match"
0x0004e2f8,__dpmi_get_and_enable_virtual_interrupt_state,func,C,"runtime: libc.a:d0901.o exact masked-byte match"
0x0004e30c,__FSEXT_alloc_fd,func,C,"runtime: libc.a:fsext.o exact masked-byte match"
0x0004e39c,__FSEXT_set_function,func,C,"runtime: libc.a:fsext.o exact masked-byte match"
0x0004e434,__FSEXT_get_function,func,C,"runtime: libc.a:fsext.o exact masked-byte match"
0x0004e47c,__dosmemput,func,C,"runtime: libc.a:dmp.o exact masked-byte match"
0x0004e49c,__doserr_to_errno,func,C,"runtime: libc.a:doserr2e.o exact masked-byte match"
0x0004e4e4,_doprnt,func,C,"runtime: libc.a:doprnt.o exact masked-byte match"
0x0004fb94,__dosmemget,func,C,"runtime: libc.a:dmg.o exact masked-byte match"
0x0004fbb4,__file_handle_set,func,C,"runtime: libc.a:dosio.o exact masked-byte match"
0x0004fc70,_flsbuf,func,C,"runtime: libc.a:flsbuf.o exact masked-byte match"
0x0004fda4,_filbuf,func,C,"runtime: libc.a:filbuf.o exact masked-byte match"
0x0004ff24,__alloc_file,func,C,"runtime: libc.a:allocfil.o exact masked-byte match"
0x0004ffc8,__open,func,C,"runtime: libc.a:open.o exact masked-byte match"
0x000500a0,__lseek,func,C,"runtime: libc.a:lseek.o exact masked-byte match"
0x00050104,__stdio_cleanup_proc,func,C,"runtime: libc.a:stdiohk.o exact masked-byte match"
0x00050138,__setmode,func,C,"runtime: libc.a:setmode.o exact masked-byte match"
0x0005021c,__close,func,C,"runtime: reloc-ref: exact masked-byte match"
0x00050234,__findfirst,func,C,"runtime: libc.a:findfirs.o exact masked-byte match"
0x0005042c,ScreenSetCursor,func,C,"runtime: libc.a:scsetc.o exact masked-byte match"
0x00050454,ScreenGetCursor,func,C,"runtime: libc.a:scgetc.o exact masked-byte match"
0x00050488,ScreenPutChar,func,C,"runtime: libc.a:scputc.o exact masked-byte match"
0x000504f0,kbhit,func,C,"runtime: libc.a:kbhit.o exact masked-byte match"
0x00050540,_doscan,func,C,"runtime: libc.a:doscan.o exact masked-byte match"
0x00050560,_doscan_low,func,C,"runtime: libc.a:doscan.o exact masked-byte match"
0x00050e50,ScreenCols,func,C,"runtime: libc.a:sccols.o exact masked-byte match"
0x00050e6c,ScreenRows,func,C,"runtime: libc.a:scrows.o exact masked-byte match"
0x00050e88,ScreenMode,func,C,"runtime: libc.a:scmode.o exact masked-byte match"
0x00050ea4,_chmod,func,C,"runtime: libc.a:_chmod.o exact masked-byte match"
0x00050f30,__findnext,func,C,"runtime: libc.a:findnext.o exact masked-byte match"
0x000510e8,__filelength,func,C,"runtime: libc.a:filelen.o exact masked-byte match"
0x000511d4,__stricmp,func,C,"runtime: libc.a:stricmp.o exact masked-byte match"
0x00051224,strncmp,func,C,"runtime: libc.a:strncmp.o exact masked-byte match"
0x00051260,__gettimeofday,func,C,"runtime: libc.a:gettimeo.o exact masked-byte match"
0x00051338,inportb,func,C,"runtime: libc.a:ib.o exact masked-byte match"
0x00051348,outportb,func,C,"runtime: libc.a:ob.o exact masked-byte match"
0x00051358,int86x,func,C,"runtime: libc.a:int86x.o exact masked-byte match"
0x0005136f,_int86,func,C,"runtime: libc.a:int86x.o exact masked-byte match"
0x00051418,__pow10,func,C,"runtime: libc.a:pow10.o exact masked-byte match"
